"mean" "sd" "t"
973793443.84 7107402.74412788 0
973379665.92 7625895.07896691 0.5
972001607.68 5280941.14970041 1
971686461.44 4072110.00160355 1.5
971755520 4034238.56173173 2
971790336 3995834.55625742 2.5
971850137.6 3904629.85273628 3
971879464.96 3902923.36867088 3.5
974256537.6 4066113.80096757 4
1003529011.2 4665992.32376873 4.5
1039492382.72 6281445.99271829 5
1073728962.56 8081924.08833351 5.5
1112066457.6 9777509.63134472 6
1148240035.84 12437557.3190344 6.5
1184776847.36 13128824.5938572 7
1223185448.96 15678760.5028899 7.5
1260032573.44 17497621.693548 8
1296928522.24 19067774.7063426 8.5
1334951444.48 21629445.9373199 9
1371869921.28 23468818.5126177 9.5
1409510604.8 25070153.4689267 10
1447688683.52 27836828.2598072 10.5
1485074513.92 29598304.6025846 11
1522269061.12 30797755.1668983 11.5
1560100208.64 32853043.5112567 12
1597436559.36 34329748.6580417 12.5
1634979430.4 35679155.0556861 13
1673049210.88 38200557.4310795 13.5
1710509998.08 39583471.6291967 14
1745161420.8 39313636.5661373 14.5
1762594734.08 33059111.1230231 15
1786359889.92 31509613.2031013 15.5
1395292815.36 412527746.221742 16
1116498165.76 312273837.732255 16.5
1052124692.48 243221178.170871 17
1027239034.88 199694512.938131 17.5
987797667.84 111662647.553526 18
987948892.16 112663194.64816 18.5
988530688 117032441.140318 19
971834654.72 4011408.30393426 19.5
972934380.307692 4291740.2511768 20
972621141.333333 5122582.6958018 20.5
971735859.2 5845424.25983976 21
972956672 5989851.97447639 21.5
