"mean" "sd" "t"
15.102 17.5660792089615 0
13.096 9.52352532909308 0.5
9.34 4.87664153419761 1
11.18 5.03068137552368 1.5
9.38 4.57535545624823 2
9.926 3.33410392453382 2.5
9.918 4.8970499241057 3
11.84 5.94031539051383 3.5
56.286 2.27632087691825 4
57.584 2.51707313021635 4.5
57.808 4.65836267986326 5
57.744 4.09704522696989 5.5
56.586 3.06507715387128 6
56.722 2.69393044165765 6.5
55.85 2.1144063672138 7
56.408 1.98739291843483 7.5
56.156 2.47972677889303 8
57.57 2.73699149596406 8.5
57.434 2.87207597534662 9
56.728 2.12084311305765 9.5
57.054 2.65508445616853 10
56.344 2.15540705942908 10.5
56.742 3.86639577986147 11
56.15 2.07985968914507 11.5
57.24 2.76649044599021 12
56.932 2.62930424567537 12.5
57.566 3.25874709866556 13
56.278 2.07140788167007 13.5
58.184 3.41523358032262 14
56.644 1.8720456997736 14.5
56.674 2.52002672483399 15
46.488 12.5309680066495 15.5
23.174 20.4403842968786 16
14.658 15.1812732385284 16.5
12.718 14.1907369902529 17
11.084 11.0482496535951 17.5
10.404 7.58607639706066 18
9.678 7.66410371239101 18.5
11.596 7.84656326693673 19
8.222 3.40313720809827 19.5
10.2846153846154 4.69107171615974 20
7.66666666666667 2.9521178838251 20.5
9.44 2.92711462023611 21
7.15 2.63375524046307 21.5
