"mean" "sd" "t"
540328578.509804 372952.325348717 0
540553456.941176 371571.467558714 0.5
540722838.588235 320169.07580022 1
540749261.803922 322816.795891479 1.5
540751751.529412 318219.242188423 2
540749261.803922 318633.018123171 2.5
540749261.803922 318633.018123171 3
540749261.803922 318633.018123171 3.5
542663459.137255 447736.845466219 4
579252143.686275 1327535.39802179 4.5
621261040.941176 3100368.69847067 5
663452812.54902 3932138.94938156 5.5
709399250.823529 4799677.04976583 6
755342637.176471 7051545.77518085 6.5
800001164.54902 7879685.78075962 7
844779198.745098 8987223.36420126 7.5
890353945.098039 9449176.42485346 8
936787807.372549 10876366.0278803 8.5
981926048.627451 12600484.4487042 9
1026721430.58824 13843491.4999697 9.5
1071936853.33333 14268916.5043531 10
1117418596.39216 15711666.9183484 10.5
1163406556.86275 17746285.1480416 11
1208691772.23529 19325256.7813041 11.5
1253872579.76471 20292442.679843 12
1299205581.80392 21343956.8668055 12.5
1342964595.45098 21616848.5292643 13
1363212167.52941 16696310.0679156 13.5
1053085053.4902 399883339.540323 14
557002671.686275 111529605.397996 14.5
557348261.647059 114563304.272374 15
557497163.294118 115762349.886971 15.5
541287042.509804 423307.974228853 16
541285355.921569 423212.423171525 16.5
541285355.921569 423212.423171525 17
541285195.294118 423251.628606308 17.5
541320832 315886.426028662 18
